D0901A,"India's prime minister will  personally flag off the first bus to travel between the Indian and  Pakistan zones of divided Kashmir in almost six decades when the  service resumes next month, an official said Saturday.",Both countries have hinted that Aziz's meeting with Indian Prime Minister Manmohan Singh may produce agreement on opening bus service between the Indian- and Pakistani-controlled sections of Kashmir for the first time in 57 years of conflict over the Himalayan territory.
D0901A,"India's prime minister will  personally flag off the first bus to travel between the Indian and  Pakistan zones of divided Kashmir in almost six decades when the  service resumes next month, an official said Saturday.","The prime minister will be in (the Indian Kashmir summer  capital) Srinagar to flag off the first bus on April 7,"" Singh's  spokesman said."
D0901A,"India's prime minister will  personally flag off the first bus to travel between the Indian and  Pakistan zones of divided Kashmir in almost six decades when the  service resumes next month, an official said Saturday.","The emotional reunion Wednesday across the Neelum River came on the final day of the Islamic holiday of Eid al-Fitr _ and as Indian Prime Minister Manmohan Singh paid a rare visit to Indian-controlled Kashmir, his country's only Muslim-majority state."
D0901A,"India's prime minister will  personally flag off the first bus to travel between the Indian and  Pakistan zones of divided Kashmir in almost six decades when the  service resumes next month, an official said Saturday.","Singh _ on his first visit as prime minister to India's Jammu-Kashmir state _ also announced a four-year, multibillion-dollar development plan he promised would result in thousands of jobs for people in the region."
D0901A,Both countries have hinted that Aziz's meeting with Indian Prime Minister Manmohan Singh may produce agreement on opening bus service between the Indian- and Pakistani-controlled sections of Kashmir for the first time in 57 years of conflict over the Himalayan territory.,"The prime minister will be in (the Indian Kashmir summer  capital) Srinagar to flag off the first bus on April 7,"" Singh's  spokesman said."
D0901A,Both countries have hinted that Aziz's meeting with Indian Prime Minister Manmohan Singh may produce agreement on opening bus service between the Indian- and Pakistani-controlled sections of Kashmir for the first time in 57 years of conflict over the Himalayan territory.,"The emotional reunion Wednesday across the Neelum River came on the final day of the Islamic holiday of Eid al-Fitr _ and as Indian Prime Minister Manmohan Singh paid a rare visit to Indian-controlled Kashmir, his country's only Muslim-majority state."
D0901A,Both countries have hinted that Aziz's meeting with Indian Prime Minister Manmohan Singh may produce agreement on opening bus service between the Indian- and Pakistani-controlled sections of Kashmir for the first time in 57 years of conflict over the Himalayan territory.,"Singh _ on his first visit as prime minister to India's Jammu-Kashmir state _ also announced a four-year, multibillion-dollar development plan he promised would result in thousands of jobs for people in the region."
D0901A,"The prime minister will be in (the Indian Kashmir summer  capital) Srinagar to flag off the first bus on April 7,"" Singh's  spokesman said.","The emotional reunion Wednesday across the Neelum River came on the final day of the Islamic holiday of Eid al-Fitr _ and as Indian Prime Minister Manmohan Singh paid a rare visit to Indian-controlled Kashmir, his country's only Muslim-majority state."
D0901A,"The prime minister will be in (the Indian Kashmir summer  capital) Srinagar to flag off the first bus on April 7,"" Singh's  spokesman said.","Singh _ on his first visit as prime minister to India's Jammu-Kashmir state _ also announced a four-year, multibillion-dollar development plan he promised would result in thousands of jobs for people in the region."
D0901A,"The emotional reunion Wednesday across the Neelum River came on the final day of the Islamic holiday of Eid al-Fitr _ and as Indian Prime Minister Manmohan Singh paid a rare visit to Indian-controlled Kashmir, his country's only Muslim-majority state.","Singh _ on his first visit as prime minister to India's Jammu-Kashmir state _ also announced a four-year, multibillion-dollar development plan he promised would result in thousands of jobs for people in the region."
